"age_yrBP","d2H_wax"
-57,-140
-53,-147
-48,-146
-43,-157
-37,-154
-31,-147
-25,-145
3,-159
11,-155
19,-157
36,-154
73,-151
93,-158
133,-159
153,-162
173,-159
194,-164
214,-166
244,-159
264,-156
274,-165
314,-148
334,-159
354,-156
374,-158
394,-160
414,-155
434,-154
454,-150
474,-150
494,-161
504,-166
514,-148
524,-169
534,-151
554,-162
574,-163
605,-162
695,-158
755,-153
775,-158
805,-155
835,-158
875,-165
895,-163
915,-163
935,-160
955,-155
975,-159
995,-153
1015,-145
1036,-163
1056,-155
1076,-154
1096,-152
1126,-158
1156,-158
1176,-159
1196,-157
1216,-149
1246,-159
1266,-153
1286,-157
1306,-163
1346,-167
1366,-154
1386,-171
1406,-165
1426,-162
1447,-162
1467,-163
1487,-160
1507,-168
1527,-159
1547,-153
1567,-149
1587,-168
1657,-164
