"age_yrBP","d2H_wax"
-58,-159
-57,-155
-54,-159
-52,-164
-50,-168
-47,-165
-45,-164
-43,-168
-41,-152
-39,-146
-37,-161
-35,-152
-33,-150
-30,-163
-28,-159
-24,-133
-22,-163
-20,-168
-18,-162
-16,-165
-14,-138
-11,-148
-8,-193
-5,-168
-2,-165
1,-167
4,-167
7,-173
10,-171
13,-164
16,-167
19,-167
22,-167
25,-171
28,-166
31,-163
36,-165
41,-174
46,-172
51,-165
56,-172
61,-161
67,-143
72,-165
77,-158
79,-165
82,-165
85,-154
90,-168
92,-176
95,-167
98,-169
100,-163
103,-168
105,-171
108,-180
110,-174
113,-159
116,-158
118,-172
121,-166
123,-173
126,-179
128,-174
131,-179
134,-168
136,-177
139,-186
141,-172
144,-174
147,-180
149,-180
152,-179
154,-172
157,-171
159,-178
162,-174
165,-176
167,-179
170,-171
172,-165
175,-170
178,-172
180,-174
183,-171
185,-161
188,-148
190,-149
193,-172
200,-168
206,-185
213,-150
220,-145
227,-156
233,-175
240,-175
247,-142
253,-145
260,-144
267,-161
274,-146
280,-147
287,-155
294,-158
300,-175
307,-176
314,-178
321,-175
327,-185
334,-182
341,-184
347,-179
354,-173
361,-172
368,-179
374,-177
381,-176
388,-171
392,-174
395,-170
398,-182
400,-146
403,-159
406,-164
409,-182
411,-167
414,-165
417,-153
419,-161
422,-168
425,-172
428,-177
430,-174
433,-169
436,-171
438,-159
441,-159
444,-158
446,-152
449,-159
452,-156
455,-155
457,-162
460,-160
463,-165
465,-175
468,-166
471,-159
473,-160
476,-150
479,-154
482,-147
484,-148
487,-149
490,-161
492,-156
495,-150
498,-138
501,-151
503,-162
506,-169
509,-148
511,-161
514,-148
517,-158
519,-162
522,-144
525,-159
527,-168
530,-171
533,-177
535,-160
538,-174
540,-165
543,-155
546,-152
548,-160
551,-165
554,-162
556,-169
559,-168
562,-172
564,-169
567,-174
570,-174
572,-171
575,-180
578,-180
580,-172
583,-163
586,-166
588,-151
591,-160
593,-162
596,-158
599,-161
601,-161
604,-168
607,-161
609,-156
612,-161
615,-166
617,-169
620,-154
623,-149
625,-156
628,-164
631,-162
633,-173
636,-169
638,-160
641,-165
644,-168
646,-163
649,-154
652,-162
654,-168
657,-160
660,-160
662,-162
665,-159
668,-159
670,-150
673,-172
676,-164
678,-169
681,-165
684,-170
686,-182
688,-175
690,-167
692,-171
693,-150
695,-168
698,-170
700,-171
701,-183
704,-168
708,-170
711,-170
714,-171
717,-175
721,-185
724,-183
727,-180
730,-171
738,-154
745,-171
752,-172
759,-168
766,-165
773,-171
781,-168
788,-162
795,-174
802,-176
809,-180
816,-165
823,-177
830,-162
838,-158
845,-159
852,-163
859,-164
866,-175
873,-180
880,-186
887,-167
895,-156
902,-153
916,-146
930,-159
937,-150
944,-170
952,-148
959,-145
966,-162
973,-166
980,-167
987,-169
994,-155
998,-166
1002,-172
1007,-182
1011,-190
1016,-164
1020,-170
1024,-164
1029,-162
1033,-162
1038,-170
1042,-168
1051,-163
1061,-172
1071,-170
1081,-174
1091,-164
1101,-161
1111,-181
1122,-169
1132,-183
1142,-180
1152,-177
1162,-177
1172,-181
1182,-168
1193,-159
1213,-161
1223,-168
1233,-149
1243,-155
1253,-163
1263,-157
1270,-151
1275,-155
1280,-164
1285,-176
1291,-156
1296,-157
1301,-158
1306,-154
1311,-157
1316,-171
1322,-175
1327,-177
1332,-166
1337,-163
1342,-159
1347,-142
1353,-147
1358,-165
1363,-141
1368,-157
1373,-124
1379,-174
1384,-175
1389,-171
1394,-182
1399,-180
1404,-166
1410,-147
1415,-155
1420,-162
1425,-171
1430,-170
1435,-171
1441,-177
1446,-169
1451,-170
1461,-170
1466,-167
1472,-186
1478,-168
1490,-167
1501,-164
1512,-166
1524,-156
1535,-158
1546,-163
1558,-162
1569,-167
1580,-168
1592,-182
1603,-163
1614,-164
1626,-163
1637,-175
1649,-175
1660,-156
1671,-164
1683,-166
1694,-176
1705,-163
1717,-161
1728,-169
1739,-162
1751,-173
1762,-185
1772,-180
1779,-170
1786,-167
1793,-161
1800,-174
1807,-158
1814,-162
1821,-177
1828,-158
1835,-159
1842,-150
1849,-156
1856,-138
1877,-168
1884,-171
1891,-175
1898,-179
1905,-157
1912,-174
1916,-164
1919,-159
1926,-169
1933,-153
1940,-162
1947,-171
1953,-172
1960,-154
1967,-165
1974,-154
1981,-160
