"age_yrBP","d2H_wax"
-44.9000000000001,-161.03
-33.8,-170.11
-22.5999999999999,-170.99
-11.5,-175.04
-0.400000000000091,-193.76
52.5999999999999,-195.76
105.5,-184.11
158.3,-154
211.2,-203.66
264.1,-188.56
317,-179.99
370,-186.11
475.8,-196.11
528.7,-184.68
581.6,-187.88
634.5,-168.13
687.4,-190.92
740.3,-205.49
793.2,-200.24
846.1,-191.87
899.1,-159.43
951.9,-189.18
1004.9,-155.33
1057.7,-169.12
1110.7,-168.77
1163.5,-184.42
1216.5,-133.11
1269.4,-163.6
1322.3,-156.68
1375.2,-145.49
1428.1,-154.77
1474.6,-143.96
1514.5,-134.46
1554.5,-166.5
1594.5,-154.12
1634.5,-159.95
1674.5,-177.94
1726.5,-185.22
1790.7,-189.33
1854.8,-187.04
1897.3,-200.07
1939.8,-207.81
1982.3,-201.14
2024.7,-193.75
2109.7,-165.93
2194.6,-186.17
2271.1,-169.61
2349.5,-182.81
2427.8,-177.36
2506.1,-185.03
2584.5,-183.69
2662.8,-180.9
2741.1,-186.36
2792.4,-202.62
2854.5,-183.74
2916.6,-194.43
2980.4,-196.7
3049.4,-206.6
3118.4,-173.17
3187.4,-186.18
3256.4,-177.69
3325.3,-191.34
3394.5,-202.13
3464,-204
3533.5,-190.48
3603,-208.43
3672.5,-195.57
3742,-191.64
3811.5,-179.42
3881,-174.47
3956.8,-138.61
4038.8,-132.58
4120.7,-155.61
4202.6,-126.05
4284.7,-145.86
4366.6,-146.69
4448.6,-141.47
4530.6,-151.63
4612.5,-117.85
4694.5,-124.33
4776.4,-135.63
4851,-136.87
4920.6,-147.23
5007.2,-203.09
5093.8,-214.24
5166.8,-225.15
5239.9,-214.69
5315.7,-177.67
5399.7,-168.71
5483.7,-187.95
5555.1,-188.32
5637.1,-189.01
5695.7,-189.46
5754.3,-195.27
5813,-195.71
5871.6,-218.74
5930.2,-220.84
5988.8,-210.06
