"age_yrBP","d2H_wax"
24,-158.22
170,-156.15
315,-147.72
460,-155.85
606,-162.02
751,-159.43
897,-151.38
1042,-149.41
1188,-164.92
1333,-158.34
1478,-152.71
1624,-153.99
1769,-158.15
1915,-159.16
2060,-156.34
2205,-153.87
2351,-146.54
2496,-153.67
2642,-150.7
2811,-169.98
2957,-170.27
3102,-179.61
3248,-164.73
3393,-167.58
3538,-167.77
3684,-171.17
3829,-166
3975,-170.55
4120,-167.56
4265,-170.78
4411,-167.67
4556,-164.71
4702,-162.46
4847,-162.62
4992,-153.27
5138,-159.54
5283,-155.06
5429,-173.04
5574,-173.79
5720,-168
5865,-157.2
6010,-176.55
6035,-168.74
6301,-178.14
6446,-168.68
6726,-158.38
6984,-170.64
7134,-174.76
7283,-178.14
7433,-181.92
7582,-169.42
7731,-182.36
7881,-183.06
8179,-189.42
8329,-181.04
8478,-182.48
8627,-183.98
8777,-172.37
8926,-171.97
9026,-162.25
9175,-176.88
9325,-170.1
9474,-190.27
9485,-183.02
9560,-187.3
9710,-164.73
9784,-180.37
9859,-173.77
9934,-177.31
10009,-175.95
10084,-175.26
10158,-177.23
10233,-183.6
10308,-186.53
10458,-183.8
10520,-186.37
10582,-180.98
10645,-179.58
10668,-186.92
10707,-177.89
10832,-172.04
10894,-178.23
10956,-178.51
11143,-172.47
11330,-165.89
11517,-143.35
11783,-161.66
11890,-144.63
11911,-149.28
11996,-157.26
12018,-152.1
12060,-151.9
12124,-144.88
12174,-179.89
12192,-142.86
12239,-141.61
12255,-159.16
12287,-143.24
12334,-148.05
12336,-153.05
12405,-149.58
12417,-153.66
12429,-150.88
12453,-146.87
12477,-152.36
12499,-156.28
12548,-149.5
12571,-146.45
12580,-154.19
12595,-156.29
12619,-152.29
12643,-144.88
12661,-152.47
12666,-152.49
12690,-142.94
12714,-146.31
12738,-152.59
12742,-153.43
12761,-152.47
12809,-155.07
12856,-147.88
12864,-153.69
12880,-147.49
12939,-147.04
12945,-158.45
12999,-152.03
13026,-153.88
13070,-154.51
13129,-163.86
13148,-160.03
13189,-156.26
13236,-156.51
13269,-157.59
13292,-155.26
13356,-162.32
13391,-167.9
13412,-162.47
13476,-158.07
13513,-167.83
13532,-162.11
13596,-163.87
13634,-163.85
13652,-160.41
13716,-157.59
13756,-168.83
13764,-166.07
13878,-136.89
13918,-110.51
13999,-150.57
14040,-107.41
14121,-110.56
14161,-103.71
14243,-105.46
14283,-88.77
14374,-90.37
14466,-90.2
14547,-80.07
14668,-94.22
14709,-93.15
14831,-126.42
14912,-140.48
14952,-137.08
15033,-137.18
15074,-137.97
15155,-154.83
15196,-137.22
15277,-168.22
15398,-154.6
15520,-186.71
15642,-188.71
15763,-185.68
16007,-191.39
16128,-195.09
16250,-193.44
16372,-191.73
16493,-185.56
16615,-186.5
16737,-170.27
16858,-188.64
16980,-151.62
17102,-169.93
17223,-189.79
17386,-181.59
17587,-211.33
17706,-192.92
17826,-197.22
17946,-208.14
18066,-188.02
18186,-164.19
18306,-163.55
18425,-163.26
18545,-157.15
18665,-177.64
19624,-171.58
19713,-169.29
19781,-167.25
19849,-168.26
19917,-166.27
19985,-168.79
20053,-171.73
20121,-176.03
20190,-171.59
20258,-168.54
20326,-169.31
20394,-169.61
20462,-171.9
20530,-176.7
20598,-176.54
20666,-174.98
20734,-172.04
20802,-167.03
20870,-176.9
20938,-162.02
21439,-163.75
21644,-169.39
21849,-166.04
21986,-171.39
22123,-178.04
22191,-183.01
22259,-177.97
22328,-177.35
22396,-176.45
22465,-177.2
22533,-176.72
22601,-175.79
22670,-173.95
22807,-171.74
22875,-175.72
22951,-183.65
23027,-174.71
23255,-166.04
23331,-173.4
23407,-162.84
23483,-160.85
23559,-161.68
24863,-164.68
25091,-173.14
26535,-169.37
27773,-164.57
31602,-174.76
